"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 09:55:15 GMT 2024","Fri Dec 20 09:55:30 GMT 2024","15573","","GpsL1CaPcpsTongAcquisitionGSoC2013Test","","GpsL1CaPcpsTongAcquisitionGSoC2013Test","","ValidationOfResultsProbabilities",""
"failed","Fri Dec 20 09:55:46 GMT 2024","Fri Dec 20 09:55:46 GMT 2024","3","","GpsL1CaPcpsAcquisitionTest","","GpsL1CaPcpsAcquisitionTest","","ValidationOfResults",""
"passed","Sun Dec 22 17:09:42 GMT 2024","Sun Dec 22 18:01:35 GMT 2024","3112751","","TtffTest","","TtffTest","","ColdStart",""
"passed","Fri Dec 20 09:55:31 GMT 2024","Fri Dec 20 09:55:31 GMT 2024","0","","RtcmPrinterTest","","RtcmPrinterTest","","Instantiate",""
"passed","Fri Dec 20 09:52:57 GMT 2024","Fri Dec 20 09:53:09 GMT 2024","12857","","GalileoE1PcpsCccwsrAmbiguousAcquisitionTest","","GalileoE1PcpsCccwsrAmbiguousAcquisitionTest","","ValidationOfResultsProbabilities",""
"passed","Fri Dec 20 09:52:49 GMT 2024","Fri Dec 20 09:52:49 GMT 2024","4","","GalileoE1PcpsAmbiguousAcquisitionGSoC2013Test","","GalileoE1PcpsAmbiguousAcquisitionGSoC2013Test","","Instantiate",""
"passed","Fri Dec 20 09:52:23 GMT 2024","Fri Dec 20 09:52:23 GMT 2024","0","","MultiplyTest","","MultiplyTest","","ArmadilloImplementation",""
"failed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","226","","GNSSFlowgraph","","GNSSFlowgraph","","InstantiateConnectStartStopHybrid",""
"passed","Fri Dec 20 09:55:31 GMT 2024","Fri Dec 20 09:55:31 GMT 2024","0","","Unpack2bitSamplesTest","","Unpack2bitSamplesTest","","CheckBigEndianByte",""
"passed","Fri Dec 20 09:52:23 GMT 2024","Fri Dec 20 09:52:23 GMT 2024","0","","MagnitudeSquaredTest","","MagnitudeSquaredTest","","VolkComplexImplementationAlloc",""
"passed","Fri Dec 20 09:55:48 GMT 2024","Fri Dec 20 09:55:48 GMT 2024","10","","CubatureFilterComputationTest","","CubatureFilterComputationTest","","CubatureFilterTest",""
"passed","Fri Dec 20 09:55:31 GMT 2024","Fri Dec 20 09:55:31 GMT 2024","0","","RinexPrinterTest","","RinexPrinterTest","","MixedObsHeaderGpsGlo",""
"passed","Fri Dec 20 09:55:31 GMT 2024","Fri Dec 20 09:55:31 GMT 2024","0","","OsnmaMsgReceiverTest","","OsnmaMsgReceiverTest","","TeslaKeyVerification",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GNSSBlockFactoryTest","","GNSSBlockFactoryTest","","InstantiateWrongPvt",""
"passed","Fri Dec 20 09:54:25 GMT 2024","Fri Dec 20 09:54:25 GMT 2024","153","","GalileoE5bPcpsAcquisitionTest","","GalileoE5bPcpsAcquisitionTest","","ValidationOfResults",""
"passed","Fri Dec 20 09:52:49 GMT 2024","Fri Dec 20 09:52:49 GMT 2024","4","","GalileoE1PcpsAmbiguousAcquisitionGSoC2013Test","","GalileoE1PcpsAmbiguousAcquisitionGSoC2013Test","","ConnectAndRun",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GNSSBlockFactoryTest","","GNSSBlockFactoryTest","","InstantiatePulseBlankingFilter",""
"passed","Fri Dec 20 09:52:16 GMT 2024","Fri Dec 20 09:52:16 GMT 2024","0","","CodeGenerationTest","","CodeGenerationTest","","GalileoE6CSecondaryTest",""
"failed","Fri Dec 20 09:55:46 GMT 2024","Fri Dec 20 09:55:46 GMT 2024","0","","GalileoE1DllPllVemlTrackingInternalTest","","GalileoE1DllPllVemlTrackingInternalTest","","ValidationOfResults",""
"failed","Fri Dec 20 09:55:48 GMT 2024","Fri Dec 20 09:55:48 GMT 2024","0","","GlonassL1CaDllPllTrackingTest","","GlonassL1CaDllPllTrackingTest","","ValidationOfResults",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","ReedSolomonE1BTest","","ReedSolomonE1BTest","","EncodeWithCustomMatrix",""
"passed","Fri Dec 20 09:55:34 GMT 2024","Fri Dec 20 09:55:34 GMT 2024","0","","DllNcEMinusLNormalizedTest","","DllNcEMinusLNormalizedTest","","CosBoc11",""
"passed","Fri Dec 20 09:52:16 GMT 2024","Fri Dec 20 09:52:16 GMT 2024","55","","CodeGenerationTest","","CodeGenerationTest","","CodeGenGPSL1SampledTest",""
"failed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","ControlThreadTest","","ControlThreadTest","","InstantiateRunControlMessages",""
"passed","Fri Dec 20 09:55:34 GMT 2024","Fri Dec 20 09:55:34 GMT 2024","0","","DllNcEMinusLNormalizedTest","","DllNcEMinusLNormalizedTest","","Bpsk",""
"passed","Fri Dec 20 09:55:31 GMT 2024","Fri Dec 20 09:55:31 GMT 2024","0","","Unpack2bitSamplesTest","","Unpack2bitSamplesTest","","CheckBigEndianShortBigEndianByte",""
"passed","Fri Dec 20 09:55:31 GMT 2024","Fri Dec 20 09:55:31 GMT 2024","0","","RtcmTest","","RtcmTest","","MT1029",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GNSSBlockFactoryTest","","GNSSBlockFactoryTest","","InstantiateGpsL1CaTcpConnectorTracking",""
"passed","Fri Dec 20 09:55:33 GMT 2024","Fri Dec 20 09:55:33 GMT 2024","739","","CpuMulticorrelatorTest","","CpuMulticorrelatorTest","","MeasureExecutionTime",""
"passed","Fri Dec 20 09:55:31 GMT 2024","Fri Dec 20 09:55:31 GMT 2024","0","","ItemTypeHelpersTest","","ItemTypeHelpersTest","","CheckConversionsComplex",""
"passed","Fri Dec 20 09:55:31 GMT 2024","Fri Dec 20 09:55:31 GMT 2024","0","","Geohash_Test","","Geohash_Test","","Precision",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","FileConfigurationTest","","FileConfigurationTest","","OverridedProperties",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GNSSBlockFactoryTest","","GNSSBlockFactoryTest","","InstantiateWrongAcquisition",""
"passed","Fri Dec 20 09:52:23 GMT 2024","Fri Dec 20 09:52:23 GMT 2024","0","","StringConverterTest","","StringConverterTest","","StringToBoolFail",""
